,POT,TRT,REP,SPP,LIT,INS,ROOT01,TOTBIOM01,FLOWTIME,ABOVETOT02,Asctu,Bucda,Andge,Elyca,Astaz,Sornu,Koecr,Liaas,Panvi,Eupco,Corpa,Achmi,Solne,Anecy,Bougr,Schsc,Rudhi,Spocr,fdis,fgr,mpd,pdtot
1,1,16,1,1,0,0,0.56,38.02,1.55,28,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,188.283243
2,2,8,1,4,1,0,0.88,57.37,6.55,70.872,0,4,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0.1978877698,3,276.3897581667,452.602804
3,3,14,4,8,0,1,2.02,76.217,4.8,21.58,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,2,2,2,0.2314321606,7,195.31995825,578.139405
4,4,14,5,8,0,1,1.43,80.53,4.2,32.95,2,2,0,0,0,0,0,2,0,2,0,2,0,2,0,2,2,0,0.2464548523,6,272.8569329286,798.050779
5,5,13,1,4,0,1,2.08,78.52,4.25,26.35,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0.180528905,3,291.7110255,498.566591
6,6,6,2,1,1,0,0.47,69.93,5.516666667,28.5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,188.283243
7,7,14,1,8,0,1,2.16,71.2,5.666666667,29.72,2,2,0,2,0,2,0,0,0,2,2,0,0,0,2,2,0,0,0.2379875141,5,245.2881360357,675.957031
8,8,5,4,16,1,1,2.33,76.895,6.35,11.147,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2028667347,9,252.9474897333,894.316348
9,9,10,3,16,1,0,2.7,86.962,4.916666667,28.127,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0.2313027925,9,250.3286663167,873.845521
10,10,10,2,16,1,0,0.72,70.18,6.35,35.82,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0.2193752614,9,235.8907426833,781.505368
11,11,15,4,16,0,1,3.42,76.636,6.3,34.66,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0.2286842348,9,235.8649281583,779.956503
